id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,35,0.0307696,0.0340572,-0.0032876,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,37,0.0139754,0.0332285,-0.0192531,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,39,0.0400998,0.0326352,0.0074646,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,41,0.0326357,0.0326217,1.40000000000001e-05,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,43,0.0102434,0.0331998,-0.0229564,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,45,0.0251716,0.0341857,-0.0090141,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,47,0.0501893,0.0352967,0.0148926,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,49,0.0550279,0.0362411,0.0187868,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,51,0.0539863,0.036791,0.0171953,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,53,0.0311817,0.036738,-0.0055563,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,55,0.0367799,0.0361064,0.000673500000000001,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,57,0.0450034,0.0349752,0.0100282,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,59,0.0401646,0.0331773,0.0069873,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,61,0.0203329,0.0312719,-0.010939,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,63,0.0274497,0.0290507,-0.001601,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,65,0.0248243,0.0267244,-0.0019001,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,67,0.0259309,0.0244929,0.001438,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,69,0.0184668,0.0222534,-0.0037866,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,71,0.0110027,0.0201726,-0.0091699,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,73,0.0256486,0.0182346,0.007414,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,75,0.0154942,0.0162389,-0.000744700000000001,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,77,0.00277931,0.0146302,-0.01185089,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,79,0.00878948,0.0129784,-0.00418892,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,81,0.0173602,0.0114865,0.0058737,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,83,0.0103083,0.0102373,7.09999999999999e-05,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,85,0.0147348,0.00907679,0.00565801,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,87,0.00429809,0.00789879,-0.0036007,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,89,0.00353865,0.00698965,-0.003451,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,91,0.00505743,0.00617356,-0.00111613,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,93,0.00954891,0.00544581,0.0041031,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,95,0.00243202,0.00478592,-0.0023539,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,97,0.000913242,0.0041779,-0.003264658,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,99,0.00616407,0.00369842,0.00246565,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,101,0.00167259,0.00328092,-0.00160833,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,103,0.00429809,0.00291924,0.00137885,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,105,0.00616407,0.00260738,0.00355669,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,107,0.00167259,0.00233964,-0.00066705,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,109,0.000913242,0.00211068,-0.001197438,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,111,0.000913242,0.00191558,-0.001002338,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,113,0.000913242,0.00174989,-0.000836648,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,115,0.00243202,0.00160963,0.00082239,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,117,0.00167259,0.00149125,0.00018134,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,119,0.00243202,0.00139163,0.00104039,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,121,0.00243202,0.00130804,0.00112398,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,123,0.000913242,0.00123811,-0.000324868,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,125,0.000913242,0.00117978,-0.000266538,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,127,0.00167259,0.00113126,0.00054133,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,129,0.000913242,0.00109103,-0.000177788,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,131,0.000913242,0.00105777,-0.000144528,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,133,0.000913242,0.00103035,-0.000117108,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,135,0.000913242,0.00100781,-9.45680000000001e-05,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,137,0.00167259,0.000989343,0.000683247,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,139,0.00353865,0.00102297,0.00251568,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,143,0.00167259,0.000980689,0.000691901,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,147,0.000913242,0.000955566,-4.23240000000001e-05,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,151,0.000913242,0.000939529,-2.62870000000001e-05,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,155,0.000913242,0.000928705,-1.54630000000001e-05,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,159,0.000913242,0.000922486,-9.24400000000005e-06,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,163,0.000913242,0.000918748,-5.50600000000007e-06,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,167,0.00167259,0.000916292,0.000756298,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,171,0.000913242,0.000915066,-1.82399999999999e-06,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,175,0.000913242,0.000914207,-9.65000000000015e-07,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,179,0.000913242,0.000913813,-5.70999999999992e-07,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,183,0.000913242,0.000913534,-2.92000000000044e-07,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,187,0.000913242,0.00091341,-1.68000000000043e-07,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,191,0.000913242,0.000913329,-8.70000000000688e-08,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,195,0.000913242,0.000913289,-4.69999999999811e-08,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,199,0.000913242,0.000913267,-2.50000000000684e-08,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,203,0.000913242,0.000913254,-1.19999999999721e-08,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,207,0.000913242,0.000913249,-7.0000000000018e-09,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,211,0.000913242,0.000913245,-3.00000000004724e-09,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,215,0.000913242,0.000913244,-2.00000000003149e-09,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,219,0.000913242,0.000913243,-1.00000000001575e-09,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,223,0.000913242,0.000913242,0,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,227,0.000913242,0.000913242,0,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,231,0.000913242,0.000913242,0,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,235,0.000913242,0.000913242,0,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,239,0.000913242,0.000913242,0,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,243,0.000913242,0.000913242,0,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,247,0.000913242,0.000913242,0,174.437,25.4877,25.4877
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,5,0.032840886,0.023744297,0.009096589,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,7,0.036888434,0.023744298,0.013144136,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,9,0.063371426,0.0237443,0.039627126,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,11,0.05217104,0.023744307,0.028426733,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,13,0.085936726,0.023744322,0.062192404,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,15,0.065621232,0.023744402,0.04187683,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,17,0.097629444,0.023744863,0.073884581,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,19,0.09120603,0.02374689,0.06745914,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,21,0.08287145,0.02375402,0.05911743,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,23,0.061622068,0.023773954,0.037848114,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,25,0.074568286,0.023823608,0.050744678,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,27,0.07417585,0.023937687,0.050238163,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,29,0.061513884,0.024185354,0.03732853,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,31,0.05040705,0.024718919,0.025688131,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,33,0.047842532,0.025840355,0.022002177,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,35,0.063594166,0.028029992,0.035564174,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,37,0.05842314,0.03194286,0.02648028,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,39,0.05987216,0.03882839,0.02104377,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,41,0.058436176,0.04979251,0.00864366600000001,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,43,0.066822276,0.06581038,0.00101189600000001,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,45,0.051391848,0.08807932,-0.036687472,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,47,0.102111064,0.11735133,-0.015240266,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,49,0.161749202,0.15396833,0.00778087200000005,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,51,0.182416758,0.20062886,-0.018212102,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,53,0.212681024,0.25405094,-0.041369916,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,55,0.246984984,0.31381354,-0.0668285559999999,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,57,0.33062647,0.37915251,-0.04852604,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,59,0.40334721,0.4595088,-0.0561615899999999,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,61,0.50208326,0.5347964,-0.0327131400000003,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,63,0.53736983,0.6178274,-0.0804575700000002,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,65,0.67152555,0.7018984,-0.0303728499999998,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,67,0.80823035,0.7808572,0.0273731500000001,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,69,0.77409835,0.8583129,-0.0842145499999999,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,71,1.0050601,0.9253937,0.0796664,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,73,1.0237073,0.9805437,0.0431636000000001,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,75,0.948459,1.0272068,-0.0787477999999998,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,77,1.0375121,1.0542573,-0.0167451999999995,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,79,0.9752526,1.0688393,-0.0935866999999998,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,81,1.1565206,1.0672235,0.0892971,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,83,1.1384144,1.0519584,0.0864559999999999,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,85,1.0282016,1.0241531,0.0040484999999999,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,87,1.02091035,0.9788789,0.04203145,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,89,0.9525076,0.9295444,0.0229632000000001,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,91,0.72537978,0.87312,-0.14774022,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,93,0.87807756,0.8113688,0.06670876,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,95,0.8396354,0.7457598,0.0938755999999998,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,97,0.6653327,0.6793047,-0.0139720000000002,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,99,0.55326003,0.6224217,-0.06916167,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,101,0.49326825,0.5689468,-0.0756785499999999,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,103,0.46761392,0.5188557,-0.0512417800000001,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,105,0.50620067,0.4721038,0.0340968700000001,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,107,0.43542634,0.4286276,0.00679873999999997,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,109,0.303725914,0.3883471,-0.0846211860000001,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,111,0.29450071,0.35116614,-0.0566654300000002,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,113,0.3064609,0.31697454,-0.01051364,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,115,0.223437344,0.28564915,-0.062211806,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,117,0.228381762,0.25705547,-0.028673708,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,119,0.229569404,0.23105106,-0.00148165599999994,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,121,0.183260674,0.20748564,-0.0242249659999999,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,123,0.164524104,0.18620454,-0.021680436,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,125,0.14957445,0.16705075,-0.0174763,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,127,0.117673084,0.14986694,-0.032193856,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,129,0.14651716,0.13449754,0.01201962,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,131,0.112920192,0.12079074,-0.00787054800000001,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,133,0.080246578,0.10859971,-0.028353132,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,135,0.094211314,0.09778437,-0.00357305599999998,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,137,0.077158476,0.08821208,-0.011053604,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,139,0.095143504,0.12832274,-0.033179236,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,143,0.131085776,0.10043638,0.030649396,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,147,0.102999106,0.08065616,0.022342946,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,151,0.094458326,0.06579644,0.028661886,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,155,0.075687822,0.05378315,0.021904672,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,159,0.047343508,0.04537526,0.00196824800000002,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,163,0.045215852,0.03933532,0.00588053200000002,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,167,0.04522354,0.03445467,0.01076887,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,171,0.036281046,0.03147501,0.00480603600000002,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,175,0.03129875,0.028905248,0.00239350200000001,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,179,0.031419752,0.027439492,0.00398026000000001,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,183,0.032826004,0.026158957,0.00666704700000002,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,187,0.025355548,0.025439104,-8.35559999999846e-05,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,191,0.027442856,0.02485928,0.00258357600000001,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,195,0.033587556,0.024493175,0.00909438100000002,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,199,0.025355548,0.024241586,0.00111396200000001,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,203,0.023744292,0.023755974,-1.16819999999851e-05,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,207,0.023744292,0.023744292,0,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,211,0.023744292,0.023744292,0,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,215,0.02475564,0.023744292,0.001011348,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,219,0.023744292,0.023744292,0,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,223,0.023744292,0.023744292,0,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,227,0.023744292,0.023744292,0,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,231,0.023744292,0.023744292,0,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,235,0.023744292,0.023744292,0,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,239,0.023744292,0.023744292,0,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,243,0.023744292,0.023744292,0,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,2,F02_LL.JP.2,yes,SIZE,1,247,0.023744292,0.023744292,0,11462.9694,3098.1094,3098.1094
01-Diagnostic_1F,3,F03_LL.JP.3,yes,SIZE,1,5,0.017925704,0.016438379,0.001487325,4749.786,1174.4681,1174.4681
