Fleet,Fleet_Name,Yr,Seas,Catch
1,F01_LL.JP.1,1970,3,53.8097
1,F01_LL.JP.1,1970,4,103.916
1,F01_LL.JP.1,1971,1,477.956
1,F01_LL.JP.1,1971,2,32.4034
1,F01_LL.JP.1,1971,3,16.6776
1,F01_LL.JP.1,1971,4,26.7287
1,F01_LL.JP.1,1972,1,63.1694
1,F01_LL.JP.1,1972,2,16.2712
1,F01_LL.JP.1,1972,3,36.0535
1,F01_LL.JP.1,1972,4,9.5666
1,F01_LL.JP.1,1973,1,18.3587
1,F01_LL.JP.1,1973,2,25.1238
1,F01_LL.JP.1,1973,3,21.6072
1,F01_LL.JP.1,1973,4,20.7131
1,F01_LL.JP.1,1974,1,43.4621
1,F01_LL.JP.1,1974,2,45.0129
1,F01_LL.JP.1,1974,3,75.0347
1,F01_LL.JP.1,1974,4,22.7195
1,F01_LL.JP.1,1975,1,28.3888
1,F01_LL.JP.1,1975,2,37.8494
1,F01_LL.JP.1,1975,3,62.6393
1,F01_LL.JP.1,1975,4,24.7427
1,F01_LL.JP.1,1976,1,42.3263
1,F01_LL.JP.1,1976,2,41.9142
1,F01_LL.JP.1,1976,3,69.804
1,F01_LL.JP.1,1976,4,38.9737
1,F01_LL.JP.1,1977,1,26.4486
1,F01_LL.JP.1,1977,2,22.6004
1,F01_LL.JP.1,1977,3,47.8367
1,F01_LL.JP.1,1977,4,23.8478
1,F01_LL.JP.1,1978,1,36.0188
1,F01_LL.JP.1,1978,2,17.9963
1,F01_LL.JP.1,1978,3,33.7315
1,F01_LL.JP.1,1978,4,45.9747
1,F01_LL.JP.1,1979,1,35.6337
1,F01_LL.JP.1,1979,2,18.3353
1,F01_LL.JP.1,1979,3,19.8639
1,F01_LL.JP.1,1979,4,68.8244
1,F01_LL.JP.1,1980,1,63.1957
1,F01_LL.JP.1,1980,2,37.289
1,F01_LL.JP.1,1980,3,73.3982
1,F01_LL.JP.1,1980,4,58.6345
1,F01_LL.JP.1,1981,1,65.3607
1,F01_LL.JP.1,1981,2,38.6216
1,F01_LL.JP.1,1981,3,21.8513
1,F01_LL.JP.1,1981,4,60.0079
1,F01_LL.JP.1,1982,1,23.318
1,F01_LL.JP.1,1982,2,17.9457
1,F01_LL.JP.1,1982,3,30.8416
1,F01_LL.JP.1,1982,4,11.8397
1,F01_LL.JP.1,1983,1,12.2325
1,F01_LL.JP.1,1983,2,3.92527
1,F01_LL.JP.1,1983,3,8.679
1,F01_LL.JP.1,1983,4,43.29
1,F01_LL.JP.1,1984,1,50.2572
1,F01_LL.JP.1,1984,2,38.1886
1,F01_LL.JP.1,1984,3,15.4912
1,F01_LL.JP.1,1984,4,38.9615
1,F01_LL.JP.1,1985,1,23.5823
1,F01_LL.JP.1,1985,2,18.9892
1,F01_LL.JP.1,1985,3,26.117
1,F01_LL.JP.1,1985,4,32.8768
1,F01_LL.JP.1,1986,1,22.6059
1,F01_LL.JP.1,1986,2,23.6502
1,F01_LL.JP.1,1986,3,23.9792
1,F01_LL.JP.1,1986,4,43.0385
1,F01_LL.JP.1,1987,1,11.1912
1,F01_LL.JP.1,1987,2,2.97755
1,F01_LL.JP.1,1987,3,29.3463
1,F01_LL.JP.1,1987,4,27.6282
1,F01_LL.JP.1,1988,1,66.0983
1,F01_LL.JP.1,1988,2,38.2953
1,F01_LL.JP.1,1988,3,57.887
1,F01_LL.JP.1,1988,4,122.913
1,F01_LL.JP.1,1989,1,77.8485
1,F01_LL.JP.1,1989,2,24.5778
1,F01_LL.JP.1,1989,3,59.0598
1,F01_LL.JP.1,1989,4,85.7634
1,F01_LL.JP.1,1990,1,30.0818
1,F01_LL.JP.1,1990,2,20.6238
1,F01_LL.JP.1,1990,3,28.8989
1,F01_LL.JP.1,1990,4,60.2313
1,F01_LL.JP.1,1991,1,32.2914
1,F01_LL.JP.1,1991,2,13.0186
1,F01_LL.JP.1,1991,3,25.9782
1,F01_LL.JP.1,1991,4,25.013
1,F01_LL.JP.1,1992,1,5.41712
1,F01_LL.JP.1,1992,2,4.79516
1,F01_LL.JP.1,1992,3,31.7484
1,F01_LL.JP.1,1992,4,145.322
1,F01_LL.JP.1,1993,1,93.183
1,F01_LL.JP.1,1993,2,21.6293
1,F01_LL.JP.1,1993,3,66.9917
1,F01_LL.JP.1,1993,4,88.1058
1,F01_LL.JP.1,1994,1,55.8709
1,F01_LL.JP.1,1994,2,40.7234
1,F01_LL.JP.1,1994,3,62.7089
1,F01_LL.JP.1,1994,4,94.9992
1,F01_LL.JP.1,1995,1,28.0569
1,F01_LL.JP.1,1995,2,21.0952
1,F01_LL.JP.1,1995,3,31.9502
1,F01_LL.JP.1,1995,4,38.8871
1,F01_LL.JP.1,1996,1,15.0052
1,F01_LL.JP.1,1996,2,17.3598
1,F01_LL.JP.1,1996,3,53.8047
1,F01_LL.JP.1,1996,4,42.5007
1,F01_LL.JP.1,1997,1,27.1505
1,F01_LL.JP.1,1997,2,20.3
1,F01_LL.JP.1,1997,3,62.5793
1,F01_LL.JP.1,1997,4,25.9452
1,F01_LL.JP.1,1998,1,4.45526
1,F01_LL.JP.1,1998,2,13.9788
1,F01_LL.JP.1,1998,3,95.4684
1,F01_LL.JP.1,1998,4,23.9938
1,F01_LL.JP.1,1999,1,8.49801
1,F01_LL.JP.1,1999,2,21.0578
1,F01_LL.JP.1,1999,3,77.7598
1,F01_LL.JP.1,1999,4,42.8891
1,F01_LL.JP.1,2000,1,34.4372
1,F01_LL.JP.1,2000,2,25.3595
1,F01_LL.JP.1,2000,3,35.1009
1,F01_LL.JP.1,2000,4,20.5323
1,F01_LL.JP.1,2001,1,13.7315
1,F01_LL.JP.1,2001,2,5.99701
1,F01_LL.JP.1,2001,3,21.6814
1,F01_LL.JP.1,2001,4,14.6523
1,F01_LL.JP.1,2002,1,13.0785
1,F01_LL.JP.1,2002,2,10.5366
1,F01_LL.JP.1,2002,3,20.8114
1,F01_LL.JP.1,2002,4,15.9895
1,F01_LL.JP.1,2003,1,8.82521
1,F01_LL.JP.1,2003,2,11.6178
1,F01_LL.JP.1,2003,3,10.5296
1,F01_LL.JP.1,2003,4,22.8181
1,F01_LL.JP.1,2004,1,14.6343
1,F01_LL.JP.1,2004,2,10.2417
1,F01_LL.JP.1,2004,3,18.5133
1,F01_LL.JP.1,2004,4,24.5825
1,F01_LL.JP.1,2005,1,10.5916
1,F01_LL.JP.1,2005,2,6.07814
1,F01_LL.JP.1,2005,3,11.4719
1,F01_LL.JP.1,2005,4,13.3568
1,F01_LL.JP.1,2006,1,4.23175
1,F01_LL.JP.1,2006,2,7.11717
1,F01_LL.JP.1,2006,3,14.5272
1,F01_LL.JP.1,2006,4,10.3718
1,F01_LL.JP.1,2007,1,9.82448
1,F01_LL.JP.1,2007,2,5.41576
1,F01_LL.JP.1,2007,3,26.7567
1,F01_LL.JP.1,2007,4,15.9738
1,F01_LL.JP.1,2008,1,8.36896
1,F01_LL.JP.1,2008,2,8.86048
1,F01_LL.JP.1,2008,3,9.36337
1,F01_LL.JP.1,2008,4,7.01127
1,F01_LL.JP.1,2009,1,5.17815
1,F01_LL.JP.1,2009,2,4.8336
1,F01_LL.JP.1,2009,3,10.076
1,F01_LL.JP.1,2009,4,6.99557
1,F01_LL.JP.1,2010,1,2.51983
1,F01_LL.JP.1,2010,2,11.8732
1,F01_LL.JP.1,2010,3,13.8264
1,F01_LL.JP.1,2010,4,21.2285
1,F01_LL.JP.1,2011,1,11.5368
1,F01_LL.JP.1,2011,2,6.58016
1,F01_LL.JP.1,2011,3,12.8996
1,F01_LL.JP.1,2011,4,13.0458
1,F01_LL.JP.1,2012,1,6.71404
1,F01_LL.JP.1,2012,2,12.5141
1,F01_LL.JP.1,2012,3,10.2229
1,F01_LL.JP.1,2012,4,10.8996
1,F01_LL.JP.1,2013,1,5.43697
1,F01_LL.JP.1,2013,2,12.0493
1,F01_LL.JP.1,2013,3,14.4274
1,F01_LL.JP.1,2013,4,4.87095
1,F01_LL.JP.1,2014,1,2.56717
1,F01_LL.JP.1,2014,2,3.6635
1,F01_LL.JP.1,2014,3,12.5939
1,F01_LL.JP.1,2014,4,3.77429
1,F01_LL.JP.1,2015,1,2.95852
1,F01_LL.JP.1,2015,2,3.47872
1,F01_LL.JP.1,2015,3,4.19033
1,F01_LL.JP.1,2015,4,3.31191
1,F01_LL.JP.1,2016,1,2.54895
1,F01_LL.JP.1,2016,2,7.59484
1,F01_LL.JP.1,2016,3,2.91097
1,F01_LL.JP.1,2016,4,5.48189
1,F01_LL.JP.1,2017,1,2.45722
1,F01_LL.JP.1,2017,2,6.564
1,F01_LL.JP.1,2017,3,9.01555
1,F01_LL.JP.1,2017,4,3.42264
1,F01_LL.JP.1,2018,1,3.42885
1,F01_LL.JP.1,2018,2,5.58867
1,F01_LL.JP.1,2018,3,10.7394
1,F01_LL.JP.1,2018,4,5.80079
1,F01_LL.JP.1,2019,1,0.965595
1,F01_LL.JP.1,2019,2,4.52796
1,F01_LL.JP.1,2019,3,4.12323
1,F01_LL.JP.1,2019,4,0.894364
1,F01_LL.JP.1,2020,1,0.962052
1,F01_LL.JP.1,2020,2,1.04306
1,F01_LL.JP.1,2020,3,1.25252
1,F01_LL.JP.1,2020,4,0.565301
1,F01_LL.JP.1,2021,1,0.755776
1,F01_LL.JP.1,2021,2,2.17044
1,F01_LL.JP.1,2021,3,2.27096
1,F01_LL.JP.1,2021,4,0.404944
1,F01_LL.JP.1,2022,1,2.03106
1,F01_LL.JP.1,2022,2,4.73
1,F01_LL.JP.1,2022,3,4.19455
1,F01_LL.JP.1,2022,4,3.27483
2,F02_LL.JP.2,1952,1,0
2,F02_LL.JP.2,1952,2,0
2,F02_LL.JP.2,1952,3,0
2,F02_LL.JP.2,1952,4,0
2,F02_LL.JP.2,1953,1,0
2,F02_LL.JP.2,1953,2,0
2,F02_LL.JP.2,1953,3,0
2,F02_LL.JP.2,1953,4,0
2,F02_LL.JP.2,1954,1,0
2,F02_LL.JP.2,1954,2,0
2,F02_LL.JP.2,1954,3,0
2,F02_LL.JP.2,1954,4,0
2,F02_LL.JP.2,1955,1,0
2,F02_LL.JP.2,1955,2,0
2,F02_LL.JP.2,1955,3,0
2,F02_LL.JP.2,1955,4,0
2,F02_LL.JP.2,1956,1,0
2,F02_LL.JP.2,1956,2,0
2,F02_LL.JP.2,1956,3,0
2,F02_LL.JP.2,1956,4,0
2,F02_LL.JP.2,1957,1,0
2,F02_LL.JP.2,1957,2,0
2,F02_LL.JP.2,1957,3,0
2,F02_LL.JP.2,1957,4,0
2,F02_LL.JP.2,1958,1,0
2,F02_LL.JP.2,1958,2,0
2,F02_LL.JP.2,1958,3,0
2,F02_LL.JP.2,1958,4,0
2,F02_LL.JP.2,1959,1,0
2,F02_LL.JP.2,1959,2,0
2,F02_LL.JP.2,1959,3,0
2,F02_LL.JP.2,1959,4,0
2,F02_LL.JP.2,1960,1,0
2,F02_LL.JP.2,1960,2,0
2,F02_LL.JP.2,1960,3,0
2,F02_LL.JP.2,1960,4,0
2,F02_LL.JP.2,1961,1,0
2,F02_LL.JP.2,1961,2,0
2,F02_LL.JP.2,1961,3,0
2,F02_LL.JP.2,1961,4,0
2,F02_LL.JP.2,1962,1,0
2,F02_LL.JP.2,1962,2,0
2,F02_LL.JP.2,1962,3,0
2,F02_LL.JP.2,1962,4,0
2,F02_LL.JP.2,1963,1,0
2,F02_LL.JP.2,1963,2,0
2,F02_LL.JP.2,1963,3,0
2,F02_LL.JP.2,1963,4,0
2,F02_LL.JP.2,1964,1,0
2,F02_LL.JP.2,1964,2,0
2,F02_LL.JP.2,1964,3,0
2,F02_LL.JP.2,1964,4,0
2,F02_LL.JP.2,1965,1,0
2,F02_LL.JP.2,1965,2,0
2,F02_LL.JP.2,1965,3,0
2,F02_LL.JP.2,1965,4,0
2,F02_LL.JP.2,1966,1,0
2,F02_LL.JP.2,1966,2,0
2,F02_LL.JP.2,1966,3,0
2,F02_LL.JP.2,1966,4,0
2,F02_LL.JP.2,1967,1,0
2,F02_LL.JP.2,1967,2,0
2,F02_LL.JP.2,1967,3,0
2,F02_LL.JP.2,1967,4,0
2,F02_LL.JP.2,1968,1,0
2,F02_LL.JP.2,1968,2,0
2,F02_LL.JP.2,1968,3,0
2,F02_LL.JP.2,1968,4,0
2,F02_LL.JP.2,1969,1,0
2,F02_LL.JP.2,1969,2,0
2,F02_LL.JP.2,1969,3,0
2,F02_LL.JP.2,1969,4,0
2,F02_LL.JP.2,1970,1,0
2,F02_LL.JP.2,1970,2,0
2,F02_LL.JP.2,1970,3,0
2,F02_LL.JP.2,1970,4,0
2,F02_LL.JP.2,1971,1,0
2,F02_LL.JP.2,1971,2,0
2,F02_LL.JP.2,1971,3,0
2,F02_LL.JP.2,1971,4,0
2,F02_LL.JP.2,1972,1,0
2,F02_LL.JP.2,1972,2,0
2,F02_LL.JP.2,1972,3,0
2,F02_LL.JP.2,1972,4,0
2,F02_LL.JP.2,1973,1,0
2,F02_LL.JP.2,1973,2,0
2,F02_LL.JP.2,1973,3,0
2,F02_LL.JP.2,1973,4,0
2,F02_LL.JP.2,1974,1,0
2,F02_LL.JP.2,1974,2,0
2,F02_LL.JP.2,1974,3,0
2,F02_LL.JP.2,1974,4,0
2,F02_LL.JP.2,1975,1,0
2,F02_LL.JP.2,1975,2,0
2,F02_LL.JP.2,1975,3,0
2,F02_LL.JP.2,1975,4,0
2,F02_LL.JP.2,1976,1,0
2,F02_LL.JP.2,1976,2,0
2,F02_LL.JP.2,1976,3,0
2,F02_LL.JP.2,1976,4,0
2,F02_LL.JP.2,1977,1,0
2,F02_LL.JP.2,1977,2,0
2,F02_LL.JP.2,1977,3,0
2,F02_LL.JP.2,1977,4,0
2,F02_LL.JP.2,1978,1,0
2,F02_LL.JP.2,1978,2,0
2,F02_LL.JP.2,1978,3,0
2,F02_LL.JP.2,1978,4,0
2,F02_LL.JP.2,1979,1,147.915
2,F02_LL.JP.2,1979,2,16.5207
2,F02_LL.JP.2,1979,3,239.699
2,F02_LL.JP.2,1979,4,472.256
2,F02_LL.JP.2,1980,1,69.8163
2,F02_LL.JP.2,1980,2,8.00171
2,F02_LL.JP.2,1980,3,87.9316
2,F02_LL.JP.2,1980,4,472.259
2,F02_LL.JP.2,1981,1,80.3953
2,F02_LL.JP.2,1981,2,28.9486
2,F02_LL.JP.2,1981,3,364.557
2,F02_LL.JP.2,1981,4,635.123
2,F02_LL.JP.2,1982,1,231.67
2,F02_LL.JP.2,1982,2,43.638
2,F02_LL.JP.2,1982,3,455.522
2,F02_LL.JP.2,1982,4,790.55
2,F02_LL.JP.2,1983,1,191.752
2,F02_LL.JP.2,1983,2,3.11586
2,F02_LL.JP.2,1983,3,218.269
2,F02_LL.JP.2,1983,4,257.393
2,F02_LL.JP.2,1984,1,78.8366
2,F02_LL.JP.2,1984,2,20.3515
2,F02_LL.JP.2,1984,3,378.911
2,F02_LL.JP.2,1984,4,198.377
2,F02_LL.JP.2,1985,1,78.1765
2,F02_LL.JP.2,1985,2,28.9381
2,F02_LL.JP.2,1985,3,457.181
2,F02_LL.JP.2,1985,4,185.336
2,F02_LL.JP.2,1986,1,39.1289
2,F02_LL.JP.2,1986,2,17.3671
2,F02_LL.JP.2,1986,3,249.466
2,F02_LL.JP.2,1986,4,166.27
2,F02_LL.JP.2,1987,1,13.4428
2,F02_LL.JP.2,1987,2,17.0288
2,F02_LL.JP.2,1987,3,229.517
2,F02_LL.JP.2,1987,4,93.4005
2,F02_LL.JP.2,1988,1,52.3015
2,F02_LL.JP.2,1988,2,39.4338
2,F02_LL.JP.2,1988,3,319.743
2,F02_LL.JP.2,1988,4,85.9576
2,F02_LL.JP.2,1989,1,34.8754
2,F02_LL.JP.2,1989,2,42.2143
2,F02_LL.JP.2,1989,3,581.84
2,F02_LL.JP.2,1989,4,400.214
2,F02_LL.JP.2,1990,1,87.8046
2,F02_LL.JP.2,1990,2,12.2052
2,F02_LL.JP.2,1990,3,360.104
2,F02_LL.JP.2,1990,4,292.624
2,F02_LL.JP.2,1991,1,36.2954
2,F02_LL.JP.2,1991,2,9.20196
2,F02_LL.JP.2,1991,3,233.839
2,F02_LL.JP.2,1991,4,213.394
2,F02_LL.JP.2,1992,1,27.4681
2,F02_LL.JP.2,1992,2,1.28667
2,F02_LL.JP.2,1992,3,198.947
2,F02_LL.JP.2,1992,4,9.41556
2,F02_LL.JP.2,1993,1,24.5657
2,F02_LL.JP.2,1993,2,22.9587
2,F02_LL.JP.2,1993,3,175.374
2,F02_LL.JP.2,1993,4,7.37602
2,F02_LL.JP.2,1994,1,72.9954
2,F02_LL.JP.2,1994,2,86.6244
2,F02_LL.JP.2,1994,3,210.794
2,F02_LL.JP.2,1994,4,39.8549
2,F02_LL.JP.2,1995,1,47.1091
2,F02_LL.JP.2,1995,2,104.68
2,F02_LL.JP.2,1995,3,204.975
2,F02_LL.JP.2,1995,4,40.1984
2,F02_LL.JP.2,1996,1,139.95
2,F02_LL.JP.2,1996,2,64.4315
2,F02_LL.JP.2,1996,3,186.632
2,F02_LL.JP.2,1996,4,14.0812
2,F02_LL.JP.2,1997,1,18.9332
2,F02_LL.JP.2,1997,2,17.9243
2,F02_LL.JP.2,1997,3,278.5
2,F02_LL.JP.2,1997,4,0.246877
2,F02_LL.JP.2,1998,1,319.478
2,F02_LL.JP.2,1998,2,169.783
2,F02_LL.JP.2,1998,3,187.097
2,F02_LL.JP.2,1998,4,108.738
2,F02_LL.JP.2,1999,1,146.887
2,F02_LL.JP.2,1999,2,42.6276
2,F02_LL.JP.2,1999,3,63.1672
2,F02_LL.JP.2,1999,4,3.61071
2,F02_LL.JP.2,2000,1,22.7852
2,F02_LL.JP.2,2000,2,8.86199
2,F02_LL.JP.2,2000,3,2.03788
2,F02_LL.JP.2,2000,4,11.77
2,F02_LL.JP.2,2001,1,1.62854
2,F02_LL.JP.2,2001,2,29.2682
2,F02_LL.JP.2,2001,3,77.6807
2,F02_LL.JP.2,2001,4,80.7596
2,F02_LL.JP.2,2002,1,44.8274
2,F02_LL.JP.2,2002,2,6.91589
2,F02_LL.JP.2,2002,3,44.7609
2,F02_LL.JP.2,2002,4,2.0683
2,F02_LL.JP.2,2003,1,11.5943
2,F02_LL.JP.2,2003,2,5.86943
2,F02_LL.JP.2,2003,3,167.071
2,F02_LL.JP.2,2003,4,51.2552
2,F02_LL.JP.2,2004,1,50.8759
2,F02_LL.JP.2,2004,2,8.82368
2,F02_LL.JP.2,2004,3,41.6319
2,F02_LL.JP.2,2004,4,10.4558
2,F02_LL.JP.2,2005,1,18.4372
2,F02_LL.JP.2,2005,2,3.04871
2,F02_LL.JP.2,2005,3,42.9359
2,F02_LL.JP.2,2005,4,9.41419
2,F02_LL.JP.2,2006,1,10.4431
2,F02_LL.JP.2,2006,2,25.469
2,F02_LL.JP.2,2006,3,26.1282
2,F02_LL.JP.2,2006,4,1.78513
2,F02_LL.JP.2,2007,1,2.8507
2,F02_LL.JP.2,2007,2,9.67201
2,F02_LL.JP.2,2007,3,10.9257
2,F02_LL.JP.2,2007,4,1.39225
2,F02_LL.JP.2,2008,1,0.343855
2,F02_LL.JP.2,2008,2,0.342446
2,F02_LL.JP.2,2008,3,42.6996
2,F02_LL.JP.2,2008,4,0.86574
2,F02_LL.JP.2,2009,1,0.69863
2,F02_LL.JP.2,2009,2,4.23533
2,F02_LL.JP.2,2009,3,17.8407
2,F02_LL.JP.2,2009,4,0.629769
2,F02_LL.JP.2,2010,1,0
2,F02_LL.JP.2,2010,2,2.6273
2,F02_LL.JP.2,2010,3,3.99743
2,F02_LL.JP.2,2010,4,3.72472
2,F02_LL.JP.2,2011,1,1.62883
2,F02_LL.JP.2,2011,2,16.8359
2,F02_LL.JP.2,2011,3,18.4774
2,F02_LL.JP.2,2011,4,6.42364
2,F02_LL.JP.2,2012,1,2.47794
2,F02_LL.JP.2,2012,2,12.2412
2,F02_LL.JP.2,2012,3,2.90712
2,F02_LL.JP.2,2012,4,17.5169
2,F02_LL.JP.2,2013,1,4.20647
2,F02_LL.JP.2,2013,2,8.12144
2,F02_LL.JP.2,2013,3,17.7963
2,F02_LL.JP.2,2013,4,0
2,F02_LL.JP.2,2014,1,1.72338
2,F02_LL.JP.2,2014,2,14.1888
2,F02_LL.JP.2,2014,3,34.098
2,F02_LL.JP.2,2014,4,16.0883
2,F02_LL.JP.2,2015,1,1.32361
2,F02_LL.JP.2,2015,2,8.98226
2,F02_LL.JP.2,2015,3,27.6922
2,F02_LL.JP.2,2015,4,0
2,F02_LL.JP.2,2016,1,0.912102
2,F02_LL.JP.2,2016,2,5.24058
2,F02_LL.JP.2,2016,3,12.8679
2,F02_LL.JP.2,2016,4,4.35166
2,F02_LL.JP.2,2017,1,3.60249
2,F02_LL.JP.2,2017,2,0.673391
2,F02_LL.JP.2,2017,3,7.70785
2,F02_LL.JP.2,2017,4,0.935707
2,F02_LL.JP.2,2018,1,2.98693
2,F02_LL.JP.2,2018,2,0.857195
2,F02_LL.JP.2,2018,3,5.08176
2,F02_LL.JP.2,2018,4,0
2,F02_LL.JP.2,2019,1,0
2,F02_LL.JP.2,2019,2,3.02049
2,F02_LL.JP.2,2019,3,11.2663
2,F02_LL.JP.2,2019,4,0.434236
2,F02_LL.JP.2,2020,1,0.0868665
2,F02_LL.JP.2,2020,2,8.3286
2,F02_LL.JP.2,2020,3,15.2012
2,F02_LL.JP.2,2020,4,0
2,F02_LL.JP.2,2021,1,0
2,F02_LL.JP.2,2021,2,4.21378
2,F02_LL.JP.2,2021,3,20.2807
2,F02_LL.JP.2,2021,4,4.52811
2,F02_LL.JP.2,2022,1,0.158828
2,F02_LL.JP.2,2022,2,9.2108
2,F02_LL.JP.2,2022,3,11.0166
2,F02_LL.JP.2,2022,4,0
3,F03_LL.JP.3,1952,1,0
3,F03_LL.JP.3,1952,2,0
3,F03_LL.JP.3,1952,3,0
3,F03_LL.JP.3,1952,4,0.509436
3,F03_LL.JP.3,1953,1,0
3,F03_LL.JP.3,1953,2,0
3,F03_LL.JP.3,1953,3,0
3,F03_LL.JP.3,1953,4,0
3,F03_LL.JP.3,1954,1,0
3,F03_LL.JP.3,1954,2,0
3,F03_LL.JP.3,1954,3,0
3,F03_LL.JP.3,1954,4,0
3,F03_LL.JP.3,1955,1,7.71966
3,F03_LL.JP.3,1955,2,0
3,F03_LL.JP.3,1955,3,0
3,F03_LL.JP.3,1955,4,0
3,F03_LL.JP.3,1956,1,0
3,F03_LL.JP.3,1956,2,0
3,F03_LL.JP.3,1956,3,2.7841
3,F03_LL.JP.3,1956,4,18.0541
3,F03_LL.JP.3,1957,1,0
3,F03_LL.JP.3,1957,2,0
3,F03_LL.JP.3,1957,3,1.38399
3,F03_LL.JP.3,1957,4,19.3666
3,F03_LL.JP.3,1958,1,25.2763
3,F03_LL.JP.3,1958,2,0
3,F03_LL.JP.3,1958,3,17.3104
3,F03_LL.JP.3,1958,4,7.69639
3,F03_LL.JP.3,1959,1,0
3,F03_LL.JP.3,1959,2,0.645573
3,F03_LL.JP.3,1959,3,18.8364
3,F03_LL.JP.3,1959,4,7.23108
3,F03_LL.JP.3,1960,1,0
3,F03_LL.JP.3,1960,2,1.68214
3,F03_LL.JP.3,1960,3,3.54858
3,F03_LL.JP.3,1960,4,0.53252
3,F03_LL.JP.3,1961,1,0
3,F03_LL.JP.3,1961,2,0.449762
3,F03_LL.JP.3,1961,3,19.8136
3,F03_LL.JP.3,1961,4,1.33581
3,F03_LL.JP.3,1962,1,0
3,F03_LL.JP.3,1962,2,0.708539
3,F03_LL.JP.3,1962,3,9.95482
3,F03_LL.JP.3,1962,4,3.72801
3,F03_LL.JP.3,1963,1,0
3,F03_LL.JP.3,1963,2,178.338
3,F03_LL.JP.3,1963,3,132.977
3,F03_LL.JP.3,1963,4,42.8387
3,F03_LL.JP.3,1964,1,1.98421
3,F03_LL.JP.3,1964,2,59.388
3,F03_LL.JP.3,1964,3,128.533
3,F03_LL.JP.3,1964,4,24.0398
3,F03_LL.JP.3,1965,1,6.64201
3,F03_LL.JP.3,1965,2,156.218
3,F03_LL.JP.3,1965,3,43.2081
3,F03_LL.JP.3,1965,4,24.5335
3,F03_LL.JP.3,1966,1,24.9849
3,F03_LL.JP.3,1966,2,116.418
3,F03_LL.JP.3,1966,3,47.7429
3,F03_LL.JP.3,1966,4,28.8175
